title,link,company,location,pay
PHP Developer (Remote),https://stackoverflow.com/jobs/534453/php-developer-remote-x-team?a=2TeOyVQtH7ji&so=i&pg=1&offset=13&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,X-Team,No office location,
Quality Assurance Engineer (m/f/d) - onsite or remote within the EU,https://stackoverflow.com/jobs/548067/quality-assurance-engineer-m-f-d-onsite-or-about-you-se-co-kg?a=2XNTagCHwSxW&so=i&pg=1&offset=14&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,ABOUT YOU SE & Co. KG,No office location,
Polyglot Developer (m/f/d),https://stackoverflow.com/jobs/514401/polyglot-developer-m-f-d-acrolinx?a=2MvSwhM5w6ys&so=i&pg=1&offset=15&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Acrolinx,No office location,
Node.js Developer (Remote),https://stackoverflow.com/jobs/534451/nodejs-developer-remote-x-team?a=2TeLZ4NoWM92&so=i&pg=1&offset=16&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,X-Team,No office location,
Backend Engineer (Remote or Singapore),https://stackoverflow.com/jobs/554839/backend-engineer-remote-or-singapore-bandlab-technologies?a=304HlsDYmMLK&so=i&pg=1&offset=17&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,BandLab Technologies,Singapore,
Senior React engineer,https://stackoverflow.com/jobs/565670/senior-react-engineer-whitespectre?a=33HUdFS98whi&so=i&pg=1&offset=18&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Whitespectre,No office location,
Senior Front end,https://stackoverflow.com/jobs/561563/senior-front-end-request?a=32kvE7tpgv1m&so=i&pg=1&offset=19&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Request,No office location,
Senior Ruby on Rails developer,https://stackoverflow.com/jobs/518196/senior-ruby-on-rails-developer-marketer-technologies-as?a=2NMMImZz7dVC&so=i&pg=1&offset=20&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Marketer Technologies AS,"Oslo, Norway",
"Architect ( React,Node,AWS) - Remote",https://stackoverflow.com/jobs/565720/architect-react-node-aws-remote-modus-create?a=33IWG473P3pK&so=i&pg=1&offset=21&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Modus Create,No office location,$70k–85k
Senior Security Engineer,https://stackoverflow.com/jobs/561462/senior-security-engineer-exodusio?a=32iprpt2wgak&so=i&pg=1&offset=22&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Exodus.io,No office location,
QA Tester,https://stackoverflow.com/jobs/561041/qa-tester-self-decode?a=329EHNwqboQ0&so=i&pg=1&offset=23&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,Self Decode,No office location,$10k–30k
Senior WordPress Engineer (Remote),https://stackoverflow.com/jobs/507941/senior-wordpress-engineer-remote-xwp?a=2KlyoA3rBO4o&so=i&pg=1&offset=24&total=60&so_medium=Internal&so_source=JobSearch&q=javascript&r=true,XWP,No office location,$85k–110k
